Step;Time(s);MeanReward;StdReward
360000;100,848;-0,326;0,545
420000;117,001;-0,196;0,441
660000;174,002;0,193;0,343
720000;189,339;0,141;0,508
780000;202,860;0,239;0,250
840000;218,425;0,241;0,294
900000;231,975;0,663;0,000
960000;247,643;0,323;0,290
1020000;261,283;0,317;0,258
1080000;276,651;0,324;0,308
1140000;290,376;0,385;0,199
1200000;305,832;0,392;0,212
1260000;321,248;0,438;0,202
1320000;334,741;0,331;0,389
1380000;348,423;0,439;0,183
1440000;363,678;0,298;0,306
1500000;377,314;0,439;0,312
1560000;392,515;0,421;0,266
1620000;407,925;0,365;0,265
1680000;421,359;0,418;0,206
1740000;436,471;0,370;0,230
1800000;449,942;0,495;0,185
1860000;465,245;0,389;0,279
1920000;480,522;0,423;0,274
1980000;493,632;0,364;0,344
2040000;508,978;0,434;0,249
2100000;522,518;0,451;0,235
2160000;537,736;0,410;0,179
2220000;551,298;0,436;0,213
2280000;566,368;0,422;0,264
2340000;579,704;0,456;0,210
2400000;594,952;0,514;0,193
2460000;610,228;0,426;0,208
2520000;623,357;0,412;0,315
2580000;638,699;0,365;0,339
2640000;652,074;0,376;0,253
2700000;667,315;0,436;0,272
2760000;682,455;0,451;0,192
2820000;695,901;0,438;0,229
2880000;711,012;0,439;0,292
2940000;724,398;0,512;0,195
3000000;739,601;0,395;0,265
3060000;755,117;0,368;0,402
3120000;768,254;0,446;0,279
3180000;783,454;0,459;0,328
3240000;796,872;0,462;0,245
3300000;812,129;0,481;0,211
3360000;827,295;0,442;0,214
3420000;840,488;0,375;0,270
3480000;855,856;0,402;0,323
3540000;869,181;0,428;0,232
3600000;884,278;0,473;0,292
3660000;899,632;0,467;0,232
3720000;912,892;0,478;0,229
3780000;928,140;0,415;0,223
3840000;941,364;0,556;0,186
3900000;956,679;0,429;0,235
3960000;971,975;0,435;0,257
4020000;985,417;0,466;0,394
4080000;1000,642;0,565;0,173
4140000;1015,834;0,503;0,192
4200000;1029,252;0,519;0,247
4260000;1044,594;0,459;0,243
4320000;1057,951;0,464;0,239
4380000;1073,173;0,487;0,220
4440000;1088,413;0,415;0,306
4500000;1101,930;0,470;0,287
4560000;1117,234;0,467;0,190
4620000;1132,395;0,526;0,178
4680000;1145,761;0,537;0,180
4740000;1161,097;0,497;0,203
4800000;1174,420;0,561;0,186
4860000;1189,602;0,547;0,193
4920000;1204,793;0,511;0,211
4980000;1218,236;0,458;0,282
5040000;1233,587;0,573;0,206
5100000;1248,841;0,521;0,211
5160000;1261,963;0,497;0,270
5220000;1277,231;0,504;0,250
5280000;1290,531;0,488;0,241
5340000;1305,658;0,497;0,240
5400000;1320,827;0,548;0,321
5460000;1334,019;0,513;0,201
5520000;1349,331;0,506;0,249
5580000;1362,674;0,461;0,218
5640000;1377,856;0,517;0,180
5700000;1393,053;0,509;0,210
5760000;1406,231;0,551;0,183
5820000;1421,459;0,420;0,367
5880000;1436,567;0,533;0,226
5940000;1449,824;0,510;0,216
6000000;1464,923;0,480;0,280
