Step;Time(s);MeanReward;StdReward
300000;87,212;-0,287;0,525
360000;101,820;-0,079;0,320
420000;117,889;-0,285;0,612
480000;132,437;-0,191;0,581
540000;148,578;-0,067;0,410
600000;163,190;-0,018;0,604
720000;193,852;0,145;0,263
780000;210,430;0,220;0,357
840000;224,965;0,251;0,233
900000;241,153;0,168;0,375
960000;255,279;0,284;0,335
1020000;271,837;0,304;0,335
1080000;286,265;0,226;0,327
1140000;302,363;0,617;0,127
1200000;316,902;0,314;0,341
1260000;332,780;0,363;0,256
1320000;347,625;0,295;0,417
1380000;364,870;0,403;0,339
1440000;382,390;0,344;0,372
1500000;400,288;0,450;0,349
1560000;419,466;0,396;0,236
1620000;436,984;0,353;0,284
1680000;455,788;0,478;0,224
1740000;473,664;0,346;0,378
1800000;492,643;0,460;0,228
1860000;510,013;0,323;0,430
1920000;528,692;0,502;0,174
1980000;546,073;0,478;0,246
2040000;561,990;0,461;0,220
2100000;575,752;0,370;0,262
2160000;591,427;0,440;0,180
2220000;607,142;0,527;0,298
2280000;621,306;0,454;0,217
2340000;636,919;0,404;0,257
2400000;651,081;0,428;0,269
2460000;666,764;0,488;0,253
2520000;680,730;0,489;0,214
2580000;696,493;0,459;0,243
2640000;712,089;0,506;0,185
2700000;725,983;0,398;0,280
2760000;741,846;0,515;0,411
2820000;755,977;0,567;0,149
2880000;771,627;0,440;0,285
2940000;787,407;0,474;0,284
3000000;801,394;0,507;0,306
3060000;817,300;0,464;0,230
3120000;831,527;0,463;0,300
3180000;847,065;0,426;0,283
3240000;862,806;0,507;0,264
3300000;876,916;0,535;0,228
3360000;892,455;0,426;0,318
3420000;908,293;0,445;0,256
3480000;922,165;0,507;0,225
3540000;937,654;0,489;0,192
3600000;951,938;0,416;0,287
3660000;967,484;0,470;0,350
3720000;983,412;0,449;0,333
3780000;997,305;0,463;0,256
3840000;1012,952;0,511;0,293
3900000;1026,960;0,492;0,284
3960000;1042,674;0,526;0,208
4020000;1058,157;0,474;0,226
4080000;1072,201;0,450;0,328
4140000;1087,783;0,465;0,230
4200000;1103,381;0,488;0,332
4260000;1117,349;0,526;0,220
4320000;1132,946;0,527;0,253
4380000;1147,002;0,507;0,304
4440000;1162,616;0,544;0,164
4500000;1178,137;0,457;0,302
4560000;1192,081;0,502;0,195
4620000;1207,619;0,524;0,267
4680000;1223,235;0,548;0,212
4740000;1237,261;0,560;0,169
4800000;1252,814;0,581;0,209
4860000;1267,127;0,528;0,219
4920000;1283,116;0,489;0,225
4980000;1301,013;0,490;0,211
5040000;1317,524;0,492;0,270
5100000;1335,552;0,486;0,200
5160000;1353,666;0,474;0,352
5220000;1370,073;0,480;0,192
5280000;1388,133;0,499;0,183
5340000;1404,498;0,551;0,176
5400000;1422,556;0,502;0,200
5460000;1440,549;0,526;0,195
5520000;1456,897;0,479;0,313
5580000;1475,019;0,467;0,228
5640000;1493,034;0,411;0,220
5700000;1509,520;0,504;0,198
5760000;1527,607;0,484;0,179
5820000;1544,024;0,557;0,191
5880000;1561,072;0,535;0,235
5940000;1576,689;0,475;0,420
6000000;1590,862;0,485;0,188
