Step;Time(s);MeanReward;StdReward
60000;29,427;-1,899;1,730
120000;55,048;-1,300;1,261
180000;82,142;-1,586;1,256
240000;107,558;-1,945;1,217
300000;134,231;-1,716;1,258
360000;159,824;-0,978;0,706
420000;186,917;-0,817;1,010
480000;212,498;-0,608;0,537
540000;238,045;-0,714;0,985
600000;264,817;-0,657;0,705
660000;290,307;-0,637;0,612
720000;317,424;-0,602;0,641
780000;342,879;-0,671;0,837
840000;369,760;-0,459;0,588
900000;395,118;-0,525;0,539
960000;422,694;-0,364;0,544
1020000;448,009;-0,278;0,325
1080000;473,542;-0,429;0,517
1140000;500,501;-0,394;0,374
1200000;525,547;-0,450;0,785
1260000;552,663;-0,202;0,322
1320000;578,188;-0,300;0,385
1380000;605,162;-0,337;0,460
1440000;630,620;-0,234;0,493
1500000;656,182;-0,092;0,299
1560000;682,819;-0,094;0,242
1620000;708,279;-0,366;0,991
1680000;735,403;-0,158;0,442
1740000;760,939;-0,074;0,589
1800000;787,970;-0,112;0,424
1860000;813,077;0,015;0,246
1920000;838,468;-0,049;0,320
1980000;865,755;0,048;0,249
2040000;891,313;-0,136;0,729
2100000;918,429;-0,076;0,512
2160000;944,071;-0,055;0,275
2220000;970,714;-0,091;0,229
2280000;996,166;-0,059;0,285
2340000;1023,256;-0,068;0,378
2400000;1048,797;0,032;0,364
2460000;1074,348;0,067;0,285
2520000;1100,918;-0,054;0,362
2580000;1126,456;-0,046;0,387
2640000;1153,559;-0,105;0,311
2700000;1178,989;0,016;0,261
2760000;1206,131;0,099;0,290
2820000;1231,172;-0,067;0,933
2880000;1258,383;0,019;0,268
2940000;1283,773;0,024;0,282
3000000;1308,913;0,070;0,304
3060000;1335,611;-0,030;0,376
3120000;1360,328;0,038;0,311
3180000;1386,829;0,071;0,365
3240000;1413,302;0,096;0,457
3300000;1438,459;-0,002;0,713
3360000;1465,185;0,045;0,297
3420000;1489,843;0,006;0,425
3480000;1515,991;0,039;0,369
3540000;1542,528;0,097;0,335
3600000;1567,623;-0,059;0,584
3660000;1594,137;0,050;0,356
3720000;1618,766;0,006;0,449
3780000;1644,951;0,123;0,262
3840000;1671,412;0,110;0,416
3900000;1695,831;0,012;0,539
3960000;1722,165;0,179;0,262
4020000;1746,674;0,109;0,300
4080000;1772,458;0,087;0,718
4140000;1797,103;0,085;0,301
4200000;1823,160;0,112;0,296
4260000;1849,538;0,182;0,216
4320000;1874,129;0,007;0,534
4380000;1900,305;-0,073;0,987
4440000;1924,879;0,052;0,412
4500000;1950,997;0,143;0,443
4560000;1977,125;0,109;0,330
4620000;2001,791;0,164;0,297
4680000;2028,099;0,139;0,403
4740000;2054,192;0,260;0,240
4800000;2079,049;0,128;0,226
4860000;2105,272;0,101;0,373
4920000;2129,821;0,202;0,285
4980000;2156,062;-0,007;0,415
5040000;2182,168;0,112;0,416
5100000;2206,799;0,136;0,313
5160000;2233,032;0,213;0,240
5220000;2259,348;0,115;0,325
5280000;2283,959;0,172;0,384
5340000;2310,116;0,200;0,357
5400000;2334,899;0,196;0,344
5460000;2361,104;0,260;0,169
5520000;2387,293;0,262;0,210
5580000;2411,784;0,321;0,235
5640000;2437,925;0,233;0,262
5700000;2464,195;0,182;0,563
5760000;2488,852;0,193;0,278
5820000;2515,089;0,194;0,270
5880000;2541,395;0,180;0,362
5940000;2565,892;0,165;0,381
6000000;2592,301;0,278;0,247
