Step;Time(s);MeanReward;StdReward
50000;38,682;-0,741;0,784
100000;65,125;-0,658;0,754
150000;89,536;-0,454;0,576
200000;123,822;-0,690;0,637
250000;158,082;-0,805;0,794
300000;191,863;-0,784;0,792
350000;225,313;-0,514;0,637
400000;259,690;-0,401;0,665
450000;293,447;-0,247;0,459
500000;323,929;0,013;0,288
550000;357,791;-0,236;0,785
600000;391,838;0,122;0,247
650000;425,949;0,103;0,495
700000;459,838;0,231;0,215
750000;493,608;0,113;0,433
800000;527,370;-0,099;0,627
850000;561,449;-0,124;0,766
900000;594,797;-0,078;0,780
950000;628,148;0,117;0,590
1000000;661,451;0,276;0,326
1050000;694,383;-0,059;0,772
1100000;727,554;0,213;0,484
1150000;760,668;0,265;0,474
1200000;793,782;0,022;0,549
1250000;826,890;0,112;0,657
1300000;859,952;0,182;0,407
1350000;893,107;0,191;0,533
1400000;925,918;0,103;0,742
1450000;959,278;0,202;0,291
1500000;992,095;0,253;0,324
1550000;1025,213;0,143;0,554
1600000;1058,185;0,192;0,450
1650000;1091,490;0,331;0,370
1700000;1124,532;0,301;0,341
1750000;1157,542;0,317;0,257
1800000;1190,488;0,357;0,314
1850000;1223,297;0,324;0,313
1900000;1256,248;0,317;0,275
1950000;1289,612;0,307;0,313
2000000;1326,195;0,325;0,354
2050000;1359,369;0,241;0,460
2100000;1392,915;0,408;0,207
2150000;1426,089;0,223;0,432
2200000;1459,189;0,321;0,320
2250000;1492,245;0,310;0,377
2300000;1525,424;0,322;0,340
2350000;1558,388;0,302;0,418
2400000;1591,031;0,301;0,373
2450000;1624,187;0,237;1,111
2500000;1657,116;0,351;0,251
2550000;1690,171;0,351;0,298
2600000;1723,079;0,271;0,430
2650000;1755,911;0,338;0,190
2700000;1789,259;0,379;0,270
2750000;1822,288;0,102;0,564
2800000;1855,458;0,032;0,763
2850000;1888,479;0,339;0,286
2900000;1921,316;0,369;0,278
2950000;1954,360;0,374;0,308
3000000;1987,296;0,303;0,303
3050000;2020,395;0,272;0,324
3100000;2053,330;0,313;0,437
3150000;2086,061;0,361;0,224
3200000;2122,443;0,396;0,257
3250000;2155,126;0,385;0,251
3300000;2189,246;0,315;0,351
3350000;2223,720;0,391;0,239
3400000;2258,090;0,363;0,253
3450000;2292,388;0,470;0,230
3500000;2326,779;0,401;0,384
3550000;2361,290;0,324;0,379
3600000;2395,731;0,450;0,219
3650000;2430,437;0,463;0,251
3700000;2464,687;0,449;0,172
3750000;2499,109;0,435;0,297
3800000;2533,377;0,385;0,449
3850000;2567,887;0,416;0,234
3900000;2602,359;0,344;0,233
3950000;2636,731;0,338;0,386
4000000;2671,181;0,339;0,487
4050000;2705,196;0,447;0,291
4100000;2739,868;0,375;0,343
4150000;2774,262;0,414;0,288
4200000;2808,939;0,512;0,222
4250000;2843,314;0,388;0,234
4300000;2877,675;0,517;0,218
4350000;2915,757;0,534;0,183
4400000;2950,055;0,530;0,242
4450000;2984,290;0,422;0,334
4500000;3018,846;0,424;0,248
4550000;3053,237;0,420;0,295
4600000;3087,789;0,344;0,334
4650000;3122,248;0,419;0,228
4700000;3156,400;0,419;0,237
4750000;3189,322;0,444;0,322
4800000;3222,014;0,432;0,234
4850000;3254,570;0,369;0,333
4900000;3287,207;0,387;0,297
4950000;3320,038;0,432;0,189
5000000;3353,023;0,424;0,250
5050000;3386,586;0,448;0,225
5100000;3419,144;0,442;0,282
5150000;3451,750;0,409;0,300
5200000;3484,679;0,443;0,309
5250000;3517,885;0,516;0,225
5300000;3551,032;0,479;0,282
5350000;3583,522;0,498;0,195
5400000;3616,042;0,505;0,250
5450000;3648,814;0,447;0,204
5500000;3681,389;0,388;0,345
5550000;3718,909;0,473;0,178
5600000;3752,205;0,463;0,309
5650000;3785,786;0,523;0,217
5700000;3819,021;0,453;0,213
5750000;3852,809;0,484;0,214
5800000;3886,650;0,499;0,207
5850000;3920,927;0,520;0,182
5900000;3955,038;0,454;0,181
5950000;3989,032;0,453;0,209
6000000;4023,252;0,435;0,225
6050000;4057,748;0,345;0,391
6100000;4092,078;0,422;0,278
6150000;4126,486;0,425;0,269
6200000;4160,666;0,470;0,165
6250000;4194,742;0,418;0,261
6300000;4227,951;0,458;0,186
6350000;4261,202;0,436;0,266
6400000;4294,697;0,402;0,338
6450000;4327,727;0,435;0,268
6500000;4360,901;0,482;0,254
6550000;4394,157;0,400;0,283
6600000;4427,100;0,440;0,182
6650000;4460,350;0,425;0,223
6700000;4497,099;0,416;0,288
6750000;4530,383;0,384;0,550
6800000;4563,646;0,294;0,399
6850000;4596,786;0,430;0,286
6900000;4629,930;0,495;0,196
6950000;4663,705;0,449;0,280
7000000;4697,145;0,409;0,310
7050000;4730,717;0,483;0,226
7100000;4764,176;0,406;0,228
7150000;4797,419;0,366;0,283
7200000;4830,647;0,406;0,352
7250000;4863,922;0,442;0,244
7300000;4896,998;0,452;0,355
7350000;4929,656;0,456;0,245
7400000;4962,139;0,525;0,199
7450000;4994,817;0,501;0,223
7500000;5028,478;0,493;0,227
7550000;5061,068;0,355;0,270
7600000;5093,773;0,462;0,206
7650000;5126,034;0,468;0,216
7700000;5158,717;0,469;0,178
7750000;5191,261;0,439;0,194
7800000;5223,918;0,389;0,274
7850000;5256,324;0,412;0,170
7900000;5292,690;0,430;0,247
7950000;5325,313;0,478;0,290
8000000;5357,848;0,498;0,168
8050000;5390,389;0,425;0,210
8100000;5422,801;0,521;0,186
8150000;5455,366;0,494;0,169
8200000;5488,160;0,519;0,235
8250000;5520,833;0,443;0,210
8300000;5553,646;0,387;0,486
8350000;5586,369;0,459;0,244
8400000;5619,098;0,479;0,244
8450000;5652,378;0,464;0,242
8500000;5685,273;0,451;0,241
8550000;5719,738;0,490;0,191
8600000;5753,285;0,500;0,230
8650000;5787,008;0,430;0,298
8700000;5820,372;0,478;0,198
8750000;5854,497;0,440;0,241
8800000;5888,432;0,538;0,169
8850000;5922,592;0,407;0,336
8900000;5956,625;0,466;0,213
8950000;5990,356;0,452;0,271
9000000;6019,986;0,403;0,299
9050000;6053,446;0,390;0,360
9100000;6090,398;0,476;0,193
9150000;6123,454;0,475;0,240
9200000;6156,334;0,498;0,168
9250000;6188,892;0,445;0,221
9300000;6221,533;0,527;0,151
9350000;6254,290;0,480;0,201
9400000;6286,785;0,463;0,222
9450000;6319,361;0,483;0,201
9500000;6351,856;0,423;0,267
9550000;6384,314;0,502;0,136
9600000;6416,958;0,462;0,190
9650000;6449,596;0,481;0,203
9700000;6482,205;0,444;0,214
9750000;6514,796;0,501;0,207
9800000;6547,326;0,423;0,265
9850000;6579,828;0,386;0,325
9900000;6612,251;0,470;0,271
9950000;6644,756;0,455;0,181
10000000;6677,842;0,497;0,180
