Step;Time(s);MeanReward;StdReward
50000;23,034;-2,506;1,041
100000;42,896;-2,341;1,230
150000;60,511;-2,280;1,463
200000;78,250;-1,385;1,836
250000;96,290;-1,122;1,556
300000;114,587;-0,798;1,416
350000;132,675;-0,788;1,318
400000;150,664;-0,847;1,475
450000;168,777;-1,030;1,432
500000;187,052;-0,825;1,447
550000;205,149;-0,778;1,510
600000;223,261;-0,535;1,173
650000;241,541;-0,416;1,135
700000;259,834;-0,570;1,253
750000;278,004;-0,428;1,125
800000;296,273;-0,533;1,228
850000;314,385;-0,465;1,148
900000;332,414;-0,466;1,148
950000;350,815;-0,291;1,032
1000000;369,088;-0,351;1,115
1050000;387,415;-0,362;1,097
1100000;405,559;-0,313;1,088
1150000;423,772;-0,372;1,147
1200000;442,061;-0,278;0,997
1250000;460,217;-0,264;1,078
1300000;480,308;-0,280;1,049
1350000;498,246;-0,255;1,035
1400000;516,269;-0,246;1,065
1450000;534,330;-0,445;1,209
1500000;552,495;-0,481;1,179
1550000;570,691;-0,213;0,972
1600000;588,838;-0,350;1,078
1650000;606,976;-0,326;1,098
1700000;625,160;-0,192;0,952
1750000;643,211;-0,336;1,033
1800000;661,379;-0,182;0,888
1850000;679,640;-0,197;0,985
1900000;697,891;-0,130;0,933
1950000;716,077;-0,250;1,003
2000000;734,379;-0,242;1,011
2050000;752,676;-0,217;0,948
2100000;771,082;-0,137;1,017
2150000;789,203;-0,333;1,038
2200000;807,503;-0,241;0,967
2250000;825,769;-0,091;0,895
2300000;844,104;-0,119;0,907
2350000;862,312;-0,184;0,964
2400000;880,491;-0,203;1,024
2450000;898,659;-0,182;0,926
2500000;916,894;-0,232;1,027
2550000;935,031;-0,056;0,882
2600000;954,952;-0,196;0,967
2650000;972,878;-0,056;0,939
2700000;990,799;-0,092;0,833
2750000;1008,739;-0,152;0,903
2800000;1026,814;-0,117;0,913
2850000;1044,949;-0,001;0,840
2900000;1062,948;-0,026;0,861
2950000;1081,034;-0,049;0,824
3000000;1099,062;0,022;0,788
3050000;1117,102;0,002;0,732
3100000;1135,098;0,097;0,707
3150000;1153,146;0,158;0,642
3200000;1171,216;0,237;0,526
3250000;1189,237;0,228;0,526
3300000;1207,323;0,205;0,454
3350000;1225,292;0,233;0,408
3400000;1243,239;0,351;0,367
3450000;1261,410;0,305;0,522
3500000;1279,318;0,340;0,388
3550000;1297,506;0,393;0,352
3600000;1315,624;0,358;0,399
3650000;1333,687;0,331;0,330
3700000;1351,739;0,388;0,316
3750000;1371,830;0,389;0,301
3800000;1389,813;0,389;0,300
3850000;1407,837;0,356;0,324
3900000;1426,004;0,367;0,406
3950000;1444,025;0,382;0,439
4000000;1462,114;0,368;0,415
4050000;1480,180;0,369;0,412
4100000;1498,318;0,347;0,404
4150000;1516,429;0,409;0,314
4200000;1534,532;0,397;0,353
4250000;1552,436;0,388;0,407
4300000;1570,562;0,387;0,321
4350000;1588,582;0,390;0,354
4400000;1606,736;0,446;0,310
4450000;1624,660;0,416;0,343
4500000;1642,635;0,371;0,402
4550000;1660,648;0,364;0,356
4600000;1678,665;0,366;0,324
4650000;1696,718;0,391;0,341
4700000;1714,798;0,364;0,353
4750000;1732,920;0,380;0,416
4800000;1751,014;0,384;0,345
4850000;1769,130;0,411;0,322
4900000;1787,250;0,372;0,384
4950000;1805,438;0,394;0,366
5000000;1825,298;0,400;0,355
5050000;1843,445;0,392;0,314
5100000;1861,571;0,392;0,349
5150000;1879,788;0,422;0,304
5200000;1897,902;0,445;0,303
5250000;1915,904;0,428;0,306
5300000;1933,875;0,412;0,330
5350000;1951,863;0,410;0,343
5400000;1970,170;0,425;0,323
5450000;1988,294;0,426;0,301
5500000;2006,375;0,434;0,357
5550000;2024,650;0,425;0,329
5600000;2042,873;0,392;0,321
5650000;2061,089;0,424;0,344
5700000;2079,360;0,394;0,351
5750000;2097,447;0,423;0,323
5800000;2115,560;0,407;0,341
5850000;2133,722;0,410;0,338
5900000;2151,840;0,416;0,349
5950000;2169,984;0,431;0,322
6000000;2188,079;0,429;0,302
6050000;2206,217;0,375;0,369
